Index,Red Water STD,Red Non-Water STD,Green Water STD,Green Non-Water STD,Blue Water STD,Blue Non-Water STD
7711,7.688679731,40.44067352,9.716668721,41.33879738,16.65879455,37.54431323
7712,15.17434065,31.64359401,20.34119254,31.75620449,33.84894316,34.09804564
7713,11.89052899,48.73211189,14.84436601,44.53522685,26.25848367,37.009274
7714,16.47250921,46.97817437,19.1858528,54.94787,27.3383508,53.79111283
7715,27.04474643,20.58330733,30.29747946,22.33318256,45.05199174,25.28811081
7716,17.16145856,34.57299412,19.70742068,34.67092324,35.05271143,27.97318545
7717,12.70146494,24.92952319,15.00145337,25.75447333,22.62105125,21.70918595
7718,11.26692803,19.51892513,17.25596112,14.22223733,14.11295697,7.799017154
7719,18.08925541,13.84036067,20.97852686,10.67342303,33.37987057,11.77643521
7720,12.80744339,14.87296824,15.67886237,14.22112824,22.68946358,14.92303004
7721,19.66702154,31.40740589,20.90231076,34.65945168,24.25520922,39.5228343
7722,10.66963384,51.86267191,11.22463951,51.0676472,17.40548967,53.14890446
7723,12.10396097,32.25392422,12.76368017,32.88635824,19.03505701,31.63793406
7724,19.02053518,20.69680663,20.86733419,19.77878788,28.90216109,17.40814941
7725,21.5707036,24.45699307,24.27066454,20.52682927,45.55486979,23.84480337
7726,8.883416144,33.72604043,9.528339742,34.93221853,16.85896967,32.77518567
7727,6.860922671,41.13946038,7.97913614,40.94384423,14.00686312,41.6233185
7728,12.90241632,34.34046874,16.8494699,37.0754282,19.69201738,34.00739192
7729,8.936982547,40.07319682,9.556555729,41.7868552,14.99600152,42.50350016
7731,12.13025763,25.53684835,11.67665826,25.99720306,21.90689497,25.05134826
7732,13.23933756,20.01767041,17.71267273,18.05956137,28.63026002,16.09584034
7733,12.64567147,33.24824091,14.39443609,33.64908622,29.20838713,37.05991154
7734,20.46636438,12.31816537,24.92027185,10.33150344,36.0447925,12.63497918
7735,13.76012365,27.49845731,15.39633524,24.76706559,21.70556621,22.35014861
7737,11.09406486,39.04321769,12.9500627,37.29185943,18.69759923,37.93546575
7738,9.441674539,44.64011533,12.38679776,41.29521399,18.56242512,36.37830994
7739,25.35099969,10.42005394,30.13312466,12.82791708,40.13290896,9.927410441
7740,10.90572477,36.55925653,13.39200047,33.40072666,23.43942988,33.37034811
7741,16.44048583,17.42438629,20.87299276,16.38150007,41.66491982,12.71513032
7743,10.81290701,48.10151658,13.88065033,48.16301606,22.22212307,44.18014738
7744,12.42066204,33.29606983,14.34335797,29.32003574,23.85214863,26.7255965
7745,14.33969791,51.15475404,13.824613,52.44104343,33.66642769,43.40465671
7746,14.76638511,30.57534401,17.56515349,23.56932213,29.64609986,16.15679535
7748,17.31386984,49.16497237,20.37386809,55.76813752,28.01087654,54.42009343
7749,20.290928,28.89866462,25.88242814,35.03767968,33.45882772,46.93488718
7750,16.09773101,24.34430095,20.89039383,27.79232162,29.47601337,35.39915217
7753,9.575951787,20.83410268,10.74070666,21.92424794,15.56613255,20.26629888
7754,8.896274397,2.29110943,10.7523909,3.047786717,18.02861442,5.381019103
7755,9.077304845,2.319874197,10.61515171,2.598526757,19.54317443,5.617665382
7756,26.30336084,3.122330572,25.93936993,5.742457495,31.53974537,4.359623
7757,26.99229841,6.244992393,26.87302036,7.965701907,37.69695274,17.79931843
7758,21.89375938,21.44363846,20.33974274,20.2128916,47.52721885,24.08177445
7759,16.67424519,22.10661323,18.41165119,18.4215268,36.33208551,20.65294619
7762,14.89024094,23.63797673,17.8487101,23.8539386,23.92437712,23.07478687
7763,14.30882748,23.69066791,14.69751932,22.18272239,23.80169049,17.16265655
7764,--,58.10752257,--,60.2983145,--,67.03761847
7766,15.03661664,19.48011107,20.4319938,12.32091273,37.69587847,9.24194441
